Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank
Classon Av (G),,B,1649340,1722852,667262.027,895280,1201492,#NAME?,#NAME?,#NAME?,#NAME?
Cleveland St (J),,B,901928,880879,436010.977,451537,459057,#NAME?,#NAME?,#NAME?,#NAME?
Clinton-Washington Avs (C),,B,2178439,2144338,724725.978,916121,1328169,#NAME?,#NAME?,#NAME?,#NAME?
Clinton-Washington Avs (G),,B,1534802,1609332,574938.992,787190,1083797,#NAME?,#NAME?,#NAME?,#NAME?
"Coney Island-Stillwell Av (D,F,N,Q)",,B,4615664,4579191,1838369.011,2288692,2879052,#NAME?,#NAME?,#NAME?,#NAME?
Cortelyou Rd (Q),,B,1994734,1957538,835379.928,1023916,1232328,#NAME?,#NAME?,#NAME?,#NAME?
"Court St (R)/Borough Hall (2,3,4,5)",,B,10364534,10135722,3356705.896,3728044,5334384,#NAME?,#NAME?,#NAME?,#NAME?
"Crescent St (J,Z)",,B,1467166,1391945,677801.02,739465,767792,#NAME?,#NAME?,#NAME?,#NAME?
"Crown Heights-Utica Av (3,4)",,B,7920192,7933008,3654953.043,3936420,4584880,#NAME?,#NAME?,#NAME?,#NAME?
Cypress Hills (J),,B,411331,420647,222324.996,247051,263283,#NAME?,#NAME?,#NAME?,#NAME?
"DeKalb Av (B,Q,R)",,B,6776248,6708640,2419409.979,2878314,3915266,#NAME?,#NAME?,#NAME?,#NAME?
DeKalb Av (L),,B,4000252,3290894,1541784.019,2155743,2485248,#NAME?,#NAME?,#NAME?,#NAME?
Ditmas Av (F),,B,1149528,1177275,538215.107,612635,768067,#NAME?,#NAME?,#NAME?,#NAME?
East 105 St (L),,B,1139556,1001343,477302.02,479124,541924,#NAME?,#NAME?,#NAME?,#NAME?
"Eastern Pkwy-Brooklyn Museum (2,3)",,B,1544013,1338351,441687.959,681607,920056,#NAME?,#NAME?,#NAME?,#NAME?
